วันเดือนปี,Close,Open,High,Low,Volumn,% เปลี่ยน
22-Oct-19,"26,788.10","26,850.43","26,946.64","26,782.61",265.51M,-0.15%
21-Oct-19,"26,827.64","26,852.67","26,852.67","26,747.62",241.03M,0.21%
18-Oct-19,"26,770.20","27,004.49","27,018.25","26,770.13",293.61M,-0.95%
17-Oct-19,"27,025.88","27,032.38","27,112.16","26,970.29",225.06M,0.09%
16-Oct-19,"27,001.98","26,972.31","27,058.34","26,943.29",218.24M,-0.08%
15-Oct-19,"27,024.80","26,811.20","27,120.11","26,811.20",247.48M,0.89%
14-Oct-19,"26,787.36","26,766.43","26,874.33","26,749.18",178.62M,-0.11%
11-Oct-19,"26,816.59","26,694.20","27,013.97","26,694.20",283.53M,1.21%
10-Oct-19,"26,496.67","26,317.35","26,603.31","26,314.51",217.68M,0.57%
9-Oct-19,"26,346.01","26,308.23","26,424.31","26,249.75",191.75M,0.70%
8-Oct-19,"26,164.04","26,276.59","26,421.81","26,139.80",251.42M,-1.19%
7-Oct-19,"26,478.02","26,502.33","26,655.84","26,424.54",197.51M,-0.36%
4-Oct-19,"26,573.72","26,271.70","26,590.74","26,271.70",224.49M,1.42%
3-Oct-19,"26,201.04","26,039.02","26,205.20","25,743.46",249.02M,0.47%
2-Oct-19,"26,078.62","26,425.86","26,438.04","25,974.12",312.73M,-1.86%
1-Oct-19,"26,573.04","26,962.54","27,046.21","26,562.22",272.18M,-1.28%
30-Sep-19,"26,916.83","26,852.33","26,998.86","26,852.33",228.48M,0.36%
27-Sep-19,"26,820.25","26,987.26","27,012.54","26,715.82",217.78M,-0.26%
26-Sep-19,"26,891.12","27,004.11","27,015.07","26,803.84",230.80M,-0.30%
25-Sep-19,"26,970.71","26,866.71","27,016.56","26,755.86",237.22M,0.61%
24-Sep-19,"26,807.77","27,034.07","27,079.68","26,704.96",307.43M,-0.53%
23-Sep-19,"26,949.99","26,851.45","27,011.07","26,831.34",214.83M,0.06%
20-Sep-19,"26,935.07","27,102.18","27,194.75","26,926.68",512.57M,-0.59%
19-Sep-19,"27,094.79","27,186.05","27,272.17","27,064.21",216.44M,-0.19%
18-Sep-19,"27,147.08","27,075.39","27,161.93","26,899.15",212.86M,0.13%
17-Sep-19,"27,110.80","27,010.12","27,110.80","26,984.14",223.58M,0.13%
16-Sep-19,"27,076.82","27,146.06","27,172.87","27,032.56",220.62M,-0.52%
13-Sep-19,"27,219.52","27,216.67","27,277.55","27,193.95",255.26M,0.14%
12-Sep-19,"27,182.45","27,197.32","27,306.73","27,105.01",254.65M,0.17%
11-Sep-19,"27,137.04","26,928.05","27,137.04","26,885.48",272.59M,0.85%
10-Sep-19,"26,909.43","26,805.83","26,909.43","26,717.05",322.34M,0.28%
9-Sep-19,"26,835.51","26,866.23","26,900.83","26,762.18",273.12M,0.14%
6-Sep-19,"26,797.46","26,790.25","26,860.87","26,708.39",209.70M,0.26%
5-Sep-19,"26,728.15","26,603.15","26,836.30","26,603.15",256.67M,1.41%
4-Sep-19,"26,355.47","26,301.99","26,362.35","26,244.44",202.71M,0.91%
3-Sep-19,"26,118.02","26,198.26","26,198.26","25,978.22",223.21M,-1.08%
30-Aug-19,"26,403.28","26,476.39","26,514.62","26,295.59",219.08M,0.16%
29-Aug-19,"26,362.25","26,249.09","26,408.84","26,185.71",212.19M,1.25%
28-Aug-19,"26,036.10","25,712.99","26,041.57","25,637.43",207.07M,1.00%
27-Aug-19,"25,777.90","26,014.46","26,054.02","25,721.85",263.53M,-0.47%
26-Aug-19,"25,898.83","25,826.05","25,941.25","25,716.39",222.78M,1.05%
23-Aug-19,"25,628.90","26,134.21","26,320.29","25,507.18",364.26M,-2.37%
22-Aug-19,"26,252.24","26,271.64","26,388.78","26,099.01",222.81M,0.19%
21-Aug-19,"26,202.73","26,145.36","26,268.32","26,141.77",208.79M,0.93%
20-Aug-19,"25,962.44","26,086.86","26,160.12","25,952.00",238.10M,-0.66%
19-Aug-19,"26,135.79","26,020.06","26,222.32","26,020.06",252.64M,0.96%
16-Aug-19,"25,886.01","25,678.17","25,929.65","25,678.17",276.21M,1.20%
15-Aug-19,"25,579.39","25,514.25","25,639.69","25,339.60",335.80M,0.39%
14-Aug-19,"25,479.42","26,035.08","26,035.08","25,471.59",357.00M,-3.05%
13-Aug-19,"26,279.91","25,888.88","26,426.97","25,833.25",309.61M,1.44%
12-Aug-19,"25,907.37","26,169.91","26,178.95","25,824.94",200.58M,-1.45%
9-Aug-19,"26,287.44","26,337.09","26,413.36","26,097.64",241.93M,-0.34%
8-Aug-19,"26,378.19","26,086.52","26,383.61","26,038.10",283.59M,1.43%
7-Aug-19,"26,007.07","25,814.22","26,073.21","25,440.39",350.09M,-0.09%
6-Aug-19,"26,029.52","25,810.62","26,038.68","25,710.87",322.97M,1.21%
5-Aug-19,"25,717.74","26,259.23","26,259.23","25,523.38",423.37M,-2.90%
2-Aug-19,"26,485.01","26,528.66","26,570.02","26,249.22",335.72M,-0.37%
1-Aug-19,"26,583.42","26,879.86","27,175.59","26,548.71",390.49M,-1.05%
31-Jul-19,"26,864.27","27,244.67","27,281.65","26,719.60",389.00M,-1.23%
30-Jul-19,"27,198.02","27,145.39","27,224.36","27,069.86",293.25M,-0.09%
29-Jul-19,"27,221.35","27,192.24","27,275.85","27,178.06",259.32M,0.11%
26-Jul-19,"27,192.45","27,166.00","27,213.70","27,123.25",243.20M,0.19%
25-Jul-19,"27,140.98","27,247.39","27,298.43","27,062.48",244.02M,-0.47%
24-Jul-19,"27,269.97","27,262.24","27,291.04","27,191.12",245.88M,-0.29%
23-Jul-19,"27,349.19","27,231.86","27,368.81","27,204.58",250.80M,0.65%
22-Jul-19,"27,171.90","27,174.18","27,227.77","27,088.90",226.95M,0.07%
19-Jul-19,"27,154.20","27,246.38","27,342.96","27,145.78",287.69M,-0.25%
18-Jul-19,"27,222.97","27,191.98","27,266.81","27,068.79",218.82M,0.01%
17-Jul-19,"27,219.85","27,320.91","27,343.06","27,218.38",196.78M,-0.42%
16-Jul-19,"27,335.63","27,349.32","27,398.68","27,290.24",226.00M,-0.09%
15-Jul-19,"27,359.16","27,364.69","27,364.69","27,294.17",199.73M,0.10%
12-Jul-19,"27,332.03","27,139.49","27,333.79","27,135.45",248.39M,0.90%
11-Jul-19,"27,088.08","26,950.16","27,088.45","26,916.32",252.30M,0.85%
10-Jul-19,"26,860.20","26,851.96","26,983.45","26,813.11",207.99M,0.29%
9-Jul-19,"26,783.49","26,725.12","26,807.70","26,665.57",218.33M,-0.08%
8-Jul-19,"26,806.14","26,835.64","26,839.14","26,744.87",214.29M,-0.43%
5-Jul-19,"26,922.12","26,867.75","26,950.81","26,733.33",192.17M,-0.16%
3-Jul-19,"26,966.00","26,832.32","26,966.00","26,831.44",149.84M,0.67%
2-Jul-19,"26,786.68","26,719.53","26,787.56","26,632.65",219.27M,0.26%
1-Jul-19,"26,717.43","26,805.86","26,890.64","26,616.21",285.35M,0.44%
28-Jun-19,"26,599.96","26,605.93","26,638.35","26,522.27",499.35M,0.28%
27-Jun-19,"26,526.58","26,523.72","26,607.24","26,465.32",246.93M,-0.04%
26-Jun-19,"26,536.82","26,599.42","26,660.04","26,536.33",274.34M,-0.04%
25-Jun-19,"26,548.22","26,731.61","26,752.31","26,527.66",282.16M,-0.67%
24-Jun-19,"26,727.54","26,727.61","26,806.52","26,723.37",232.39M,0.03%
21-Jun-19,"26,719.13","26,749.12","26,907.37","26,705.87",485.56M,-0.13%
20-Jun-19,"26,753.17","26,665.38","26,798.63","26,539.69",278.17M,0.94%
19-Jun-19,"26,504.00","26,490.16","26,569.75","26,415.05",240.95M,0.15%
18-Jun-19,"26,465.54","26,228.88","26,527.19","26,227.76",273.49M,1.35%
17-Jun-19,"26,112.53","26,108.53","26,165.78","26,049.80",199.50M,0.09%
14-Jun-19,"26,089.61","26,076.36","26,162.28","25,988.09",208.02M,-0.07%
13-Jun-19,"26,106.77","26,036.94","26,146.91","25,995.71",213.40M,0.39%
12-Jun-19,"26,004.83","26,040.30","26,082.10","25,958.66",223.69M,-0.17%
11-Jun-19,"26,048.51","26,180.59","26,248.67","25,998.87",253.49M,-0.05%
10-Jun-19,"26,062.68","26,090.22","26,210.61","26,054.31",249.28M,0.30%
7-Jun-19,"25,983.94","25,768.72","26,072.75","25,768.72",263.01M,1.02%
6-Jun-19,"25,720.66","25,567.45","25,800.30","25,518.05",248.07M,0.71%
5-Jun-19,"25,539.57","25,451.00","25,544.66","25,373.58",262.66M,0.82%
4-Jun-19,"25,332.18","24,962.82","25,343.77","24,962.82",281.69M,2.06%
3-Jun-19,"24,819.78","24,830.16","24,935.21","24,680.57",328.24M,0.02%
31-May-19,"24,815.04","25,046.31","25,046.31","24,809.51",292.23M,-1.41%
30-May-19,"25,169.88","25,139.94","25,218.54","25,066.75",215.24M,0.17%
29-May-19,"25,126.41","25,231.46","25,231.46","24,938.24",298.93M,-0.87%
28-May-19,"25,347.77","25,616.55","25,717.63","25,342.28",364.85M,-0.93%
24-May-19,"25,585.69","25,551.07","25,670.81","25,496.20",201.37M,0.37%
23-May-19,"25,490.47","25,657.99","25,657.99","25,328.09",316.94M,-1.11%
22-May-19,"25,776.61","25,818.46","25,878.21","25,755.11",241.76M,-0.39%
21-May-19,"25,877.33","25,782.34","25,898.27","25,779.61",260.87M,0.77%
20-May-19,"25,679.90","25,655.31","25,751.71","25,560.55",279.56M,-0.33%
17-May-19,"25,764.00","25,719.95","25,948.74","25,657.78",283.76M,-0.38%
16-May-19,"25,862.68","25,692.14","25,957.63","25,692.14",320.96M,0.84%
15-May-19,"25,648.02","25,400.13","25,724.89","25,341.94",270.72M,0.45%
14-May-19,"25,532.05","25,384.03","25,688.96","25,384.03",291.57M,0.82%
13-May-19,"25,324.99","25,568.06","25,568.06","25,222.51",361.24M,-2.38%
10-May-19,"25,942.37","25,763.72","26,019.32","25,469.86",294.58M,0.44%
9-May-19,"25,828.36","25,878.85","25,884.89","25,517.39",334.76M,-0.54%
8-May-19,"25,967.33","25,933.79","26,118.10","25,889.41",276.42M,0.01%
7-May-19,"25,965.09","26,276.90","26,276.90","25,789.71",334.96M,-1.79%
6-May-19,"26,438.48","26,160.62","26,476.27","26,033.95",283.02M,-0.25%
3-May-19,"26,504.95","26,379.14","26,534.96","26,370.09",248.90M,0.75%
2-May-19,"26,307.79","26,407.15","26,454.69","26,180.36",287.61M,-0.46%
1-May-19,"26,430.14","26,639.06","26,689.39","26,426.38",303.85M,-0.61%
30-Apr-19,"26,592.91","26,594.56","26,614.04","26,419.47",340.32M,0.15%
29-Apr-19,"26,554.39","26,559.87","26,602.54","26,520.75",279.45M,0.04%
26-Apr-19,"26,543.33","26,454.62","26,543.56","26,392.55",317.29M,0.31%
25-Apr-19,"26,462.08","26,426.37","26,536.48","26,310.28",296.73M,-0.51%
24-Apr-19,"26,597.05","26,652.56","26,680.58","26,582.86",283.37M,-0.22%
23-Apr-19,"26,656.39","26,513.83","26,695.96","26,503.56",311.69M,0.55%
22-Apr-19,"26,511.05","26,510.77","26,553.05","26,458.61",232.57M,-0.18%
18-Apr-19,"26,559.54","26,463.37","26,602.42","26,444.53",332.85M,0.42%
17-Apr-19,"26,449.54","26,468.53","26,501.02","26,391.86",367.78M,-0.01%
16-Apr-19,"26,452.66","26,482.19","26,530.71","26,397.19",302.34M,0.26%
15-Apr-19,"26,384.77","26,407.76","26,424.85","26,316.42",250.62M,-0.10%
12-Apr-19,"26,412.30","26,357.79","26,436.68","26,309.72",369.91M,1.03%
11-Apr-19,"26,143.05","26,188.21","26,229.88","26,062.59",211.68M,-0.05%
10-Apr-19,"26,157.16","26,173.71","26,209.49","26,101.24",203.13M,0.03%
9-Apr-19,"26,150.58","26,243.54","26,246.34","26,103.14",244.41M,-0.72%
8-Apr-19,"26,341.02","26,312.67","26,344.65","26,246.03",229.38M,-0.32%
5-Apr-19,"26,424.99","26,427.56","26,487.57","26,370.82",229.55M,0.15%
4-Apr-19,"26,384.63","26,213.42","26,398.90","26,212.78",233.04M,0.64%
3-Apr-19,"26,218.13","26,238.03","26,282.17","26,138.47",271.98M,0.15%
2-Apr-19,"26,179.13","26,213.55","26,221.24","26,122.31",250.94M,-0.30%
1-Apr-19,"26,258.42","26,075.10","26,280.90","26,071.69",295.57M,1.27%
29-Mar-19,"25,928.68","25,827.31","25,949.32","25,771.67",300.62M,0.82%
28-Mar-19,"25,717.46","25,693.32","25,743.41","25,576.69",237.17M,0.36%
27-Mar-19,"25,625.59","25,676.34","25,758.17","25,425.27",270.34M,-0.13%
26-Mar-19,"25,657.73","25,649.56","25,796.29","25,544.78",305.11M,0.55%
25-Mar-19,"25,516.83","25,490.72","25,603.27","25,372.26",303.12M,0.06%
22-Mar-19,"25,502.32","25,844.65","25,877.01","25,501.45",386.51M,-1.77%
21-Mar-19,"25,962.51","25,688.44","26,009.90","25,657.78",335.25M,0.84%
20-Mar-19,"25,745.67","25,867.79","25,929.52","25,670.63",321.98M,-0.55%
19-Mar-19,"25,887.38","25,987.87","26,109.68","25,814.92",342.25M,-0.10%
18-Mar-19,"25,914.10","25,801.88","25,924.77","25,785.66",303.17M,0.25%
15-Mar-19,"25,848.87","25,720.96","25,927.91","25,649.70",616.91M,0.54%
14-Mar-19,"25,709.94","25,692.31","25,752.84","25,621.31",302.79M,0.03%
13-Mar-19,"25,702.89","25,637.23","25,776.49","25,571.31",331.41M,0.58%
12-Mar-19,"25,554.66","25,600.30","25,675.44","25,522.17",312.52M,-0.38%
11-Mar-19,"25,650.88","25,208.00","25,661.63","25,208.00",309.79M,0.79%
8-Mar-19,"25,450.24","25,347.38","25,466.14","25,252.46",270.50M,-0.09%
7-Mar-19,"25,473.23","25,645.45","25,645.45","25,352.55",289.14M,-0.78%
6-Mar-19,"25,673.46","25,818.76","25,837.61","25,633.71",256.25M,-0.52%
5-Mar-19,"25,806.63","25,829.07","25,877.15","25,725.63",252.26M,-0.05%
4-Mar-19,"25,819.65","26,122.19","26,155.98","25,611.55",295.51M,-0.79%
1-Mar-19,"26,026.32","26,019.67","26,143.92","25,914.37",289.89M,0.43%
28-Feb-19,"25,916.00","25,984.28","26,029.21","25,896.56",338.52M,-0.27%
27-Feb-19,"25,985.16","25,995.60","26,039.68","25,877.24",255.38M,-0.28%
26-Feb-19,"26,057.98","26,051.61","26,155.29","25,966.01",257.85M,-0.13%
25-Feb-19,"26,091.95","26,126.15","26,241.42","26,080.66",281.60M,0.23%
22-Feb-19,"26,031.81","25,906.27","26,052.90","25,906.27",279.76M,0.70%
21-Feb-19,"25,850.63","25,922.41","25,938.88","25,762.21",255.71M,-0.40%
20-Feb-19,"25,954.44","25,872.26","25,986.20","25,846.48",287.88M,0.24%
19-Feb-19,"25,891.32","25,849.85","25,961.44","25,820.01",280.62M,0.03%
15-Feb-19,"25,883.25","25,564.63","25,883.72","25,564.63",328.53M,1.74%
14-Feb-19,"25,439.39","25,460.65","25,558.90","25,308.09",313.01M,-0.41%
13-Feb-19,"25,543.27","25,480.86","25,625.95","25,480.86",263.33M,0.46%
12-Feb-19,"25,425.76","25,152.03","25,458.98","25,152.03",278.11M,1.49%
11-Feb-19,"25,053.11","25,142.81","25,196.75","25,009.10",241.70M,-0.21%
8-Feb-19,"25,106.33","25,042.36","25,106.39","24,883.04",248.21M,-0.25%
7-Feb-19,"25,169.53","25,265.81","25,314.26","25,000.52",295.46M,-0.87%
6-Feb-19,"25,390.30","25,371.57","25,439.04","25,312.06",247.59M,-0.08%
5-Feb-19,"25,411.52","25,287.93","25,427.32","25,287.65",310.65M,0.68%
4-Feb-19,"25,239.37","25,062.12","25,239.91","24,977.67",298.54M,0.70%
1-Feb-19,"25,063.89","25,025.31","25,193.15","24,982.49",372.09M,0.26%
31-Jan-19,"24,999.67","24,954.48","25,049.62","24,842.09",507.35M,-0.06%
30-Jan-19,"25,014.86","24,826.52","25,109.62","24,790.90",397.33M,1.77%
29-Jan-19,"24,579.96","24,519.62","24,674.87","24,504.04",330.87M,0.21%
28-Jan-19,"24,528.22","24,596.98","24,596.98","24,323.94",347.17M,-0.84%
25-Jan-19,"24,737.20","24,687.21","24,860.15","24,676.75",376.89M,0.75%
24-Jan-19,"24,553.24","24,579.96","24,626.30","24,422.73",320.17M,-0.09%
23-Jan-19,"24,575.62","24,577.25","24,700.98","24,307.17",318.60M,0.70%
22-Jan-19,"24,404.48","24,607.76","24,607.76","24,244.31",338.48M,-1.22%
18-Jan-19,"24,706.35","24,534.19","24,750.22","24,459.03",372.97M,1.38%
17-Jan-19,"24,370.10","24,147.09","24,474.46","24,088.90",288.59M,0.67%
16-Jan-19,"24,207.16","24,139.91","24,288.61","24,119.72",302.83M,0.59%
15-Jan-19,"24,065.59","23,914.11","24,099.14","23,887.93",291.57M,0.65%
14-Jan-19,"23,909.84","23,880.53","23,964.90","23,765.24",277.56M,-0.36%
11-Jan-19,"23,995.95","23,940.01","23,996.32","23,798.16",262.65M,-0.02%
10-Jan-19,"24,001.92","23,811.11","24,014.78","23,703.25",338.15M,0.51%
9-Jan-19,"23,879.12","23,844.27","23,985.45","23,776.56",324.57M,0.39%
8-Jan-19,"23,787.45","23,680.32","23,864.65","23,581.45",317.42M,1.09%
7-Jan-19,"23,531.35","23,474.26","23,687.74","23,301.59",334.20M,0.42%
4-Jan-19,"23,433.16","22,894.92","23,518.64","22,894.92",396.02M,3.29%
3-Jan-19,"22,686.22","23,176.39","23,176.39","22,638.41",424.24M,-2.83%
2-Jan-19,"23,346.24","23,058.61","23,413.47","22,928.59",321.57M,0.08%
31-Dec-18,"23,327.46","23,153.94","23,333.18","23,118.30",288.83M,1.15%
28-Dec-18,"23,062.40","23,213.61","23,381.88","22,981.33",336.51M,-0.33%
27-Dec-18,"23,138.82","22,629.06","23,138.89","22,267.42",407.94M,1.14%
26-Dec-18,"22,878.45","21,857.73","22,878.92","21,712.53",433.08M,4.98%
24-Dec-18,"21,792.20","22,317.28","22,339.87","21,792.20",308.42M,-2.91%
21-Dec-18,"22,445.37","22,871.74","23,254.59","22,396.34",900.51M,-1.81%
20-Dec-18,"22,859.60","23,224.12","23,282.20","22,644.31",576.70M,-1.99%
19-Dec-18,"23,323.66","23,693.33","24,057.34","23,162.64",503.55M,-1.49%
18-Dec-18,"23,675.64","23,769.13","23,927.77","23,516.02",408.07M,0.35%
17-Dec-18,"23,592.98","23,986.83","24,088.08","23,456.88",466.74M,-2.11%
14-Dec-18,"24,100.51","24,408.04","24,431.14","24,033.79",416.94M,-2.02%
13-Dec-18,"24,597.38","24,575.86","24,740.96","24,473.29",299.97M,0.29%
12-Dec-18,"24,527.27","24,509.09","24,828.29","24,509.09",344.33M,0.64%
11-Dec-18,"24,370.24","24,719.91","24,791.26","24,221.06",342.96M,-0.22%
10-Dec-18,"24,423.26","24,360.95","24,500.81","23,881.37",389.69M,0.14%
7-Dec-18,"24,388.95","24,918.82","25,095.62","24,284.78",398.23M,-2.24%
6-Dec-18,"24,947.67","24,737.42","24,951.01","24,242.22",471.69M,-0.32%
4-Dec-18,"25,027.07","25,752.56","25,773.12","25,008.11",418.90M,-3.10%
3-Dec-18,"25,826.43","25,779.57","25,980.21","25,670.51",388.48M,1.13%
30-Nov-18,"25,538.46","25,307.14","25,549.71","25,250.97",482.25M,0.79%
29-Nov-18,"25,338.84","25,343.65","25,479.04","25,202.79",305.11M,-0.11%
28-Nov-18,"25,366.43","24,832.84","25,368.93","24,832.84",362.16M,2.50%
27-Nov-18,"24,748.73","24,557.02","24,750.73","24,416.03",308.25M,0.44%
26-Nov-18,"24,640.24","24,364.13","24,673.29","24,364.13",306.28M,1.46%
23-Nov-18,"24,285.95","24,336.40","24,408.80","24,268.74",155.94M,-0.73%
21-Nov-18,"24,464.69","24,541.65","24,669.79","24,463.28",289.37M,0.00%
20-Nov-18,"24,465.64","24,618.68","24,707.26","24,368.98",445.92M,-2.21%
19-Nov-18,"25,017.44","25,392.61","25,392.61","24,900.98",358.09M,-1.56%
16-Nov-18,"25,413.22","25,242.35","25,510.23","25,147.80",354.46M,0.49%
15-Nov-18,"25,289.27","25,061.48","25,354.56","24,787.79",392.75M,0.83%
14-Nov-18,"25,080.50","25,388.08","25,501.29","24,935.82",384.24M,-0.81%
13-Nov-18,"25,286.49","25,321.21","25,511.03","25,193.78",339.69M,-0.40%
12-Nov-18,"25,387.18","25,959.33","25,966.71","25,340.51",346.91M,-2.32%
9-Nov-18,"25,989.30","26,149.11","26,161.49","25,882.91",324.45M,-0.77%
8-Nov-18,"26,191.22","26,139.59","26,277.82","26,081.90",295.65M,0.04%
7-Nov-18,"26,180.30","25,788.46","26,200.14","25,765.88",361.78M,2.13%
6-Nov-18,"25,635.01","25,452.83","25,651.86","25,444.90",265.45M,0.68%
5-Nov-18,"25,461.70","25,261.47","25,507.35","25,261.47",334.74M,0.76%
2-Nov-18,"25,270.83","25,443.60","25,578.98","25,078.72",429.48M,-0.43%
1-Nov-18,"25,380.74","25,142.08","25,396.47","25,108.11",383.97M,1.06%
31-Oct-18,"25,115.76","25,008.82","25,336.55","25,008.82",448.93M,0.97%
30-Oct-18,"24,874.64","24,482.04","24,906.68","24,415.69",470.05M,1.77%
29-Oct-18,"24,442.92","24,818.98","25,040.58","24,122.23",443.85M,-0.99%
26-Oct-18,"24,688.31","24,770.25","24,916.16","24,445.19",505.31M,-1.19%
25-Oct-18,"24,984.55","24,736.54","25,104.29","24,645.56",439.67M,1.63%
24-Oct-18,"24,583.42","25,172.88","25,306.23","24,533.19",496.40M,-2.41%
23-Oct-18,"25,191.43","25,038.46","25,307.70","24,768.79",436.43M,-0.50%
22-Oct-18,"25,317.41","25,492.14","25,561.34","25,236.05",314.94M,-0.50%
19-Oct-18,"25,444.34","25,421.09","25,608.71","25,350.02",350.81M,0.26%
18-Oct-18,"25,379.45","25,645.56","25,691.46","25,236.01",328.02M,-1.27%
17-Oct-18,"25,706.68","25,705.87","25,810.09","25,479.16",298.21M,-0.36%
16-Oct-18,"25,798.42","25,351.53","25,817.68","25,351.53",305.80M,2.17%
15-Oct-18,"25,250.55","25,332.46","25,482.42","25,243.88",287.32M,-0.35%
12-Oct-18,"25,339.99","25,407.63","25,467.55","25,000.83",397.51M,1.15%
11-Oct-18,"25,052.83","25,518.39","25,683.64","24,899.77",522.88M,-2.13%
10-Oct-18,"25,598.74","26,441.73","26,441.73","25,593.65",438.20M,-3.15%
9-Oct-18,"26,430.57","26,469.19","26,539.94","26,324.16",282.56M,-0.21%
8-Oct-18,"26,486.78","26,399.45","26,529.35","26,223.09",273.02M,0.15%
5-Oct-18,"26,447.05","26,632.77","26,676.16","26,301.81",267.10M,-0.68%
4-Oct-18,"26,627.48","26,784.08","26,793.82","26,471.61",289.60M,-0.75%
3-Oct-18,"26,828.39","26,833.47","26,951.81","26,789.08",280.13M,0.20%
2-Oct-18,"26,773.94","26,648.91","26,824.78","26,627.66",258.29M,0.46%
1-Oct-18,"26,651.21","26,598.36","26,737.98","26,596.05",238.32M,0.73%
28-Sep-18,"26,458.31","26,407.66","26,515.76","26,383.57",264.03M,0.07%
27-Sep-18,"26,439.93","26,418.27","26,557.01","26,379.95",226.35M,0.21%
26-Sep-18,"26,385.28","26,536.86","26,606.09","26,349.34",262.62M,-0.40%
25-Sep-18,"26,492.21","26,601.58","26,634.85","26,475.58",234.11M,-0.26%
24-Sep-18,"26,562.05","26,705.25","26,709.94","26,548.68",254.85M,-0.68%
21-Sep-18,"26,743.50","26,726.25","26,769.16","26,680.37",657.62M,0.32%
